rank,discipline,yrs.since.phd,yrs.service,sex,salary
AsstProf,B,6.0,2,Male,88825
Prof,B,17.0,18,Female,122960
Prof,B,15.0,14,Male,132825
Prof,B,37.0,37,Male,152708
AsstProf,B,2.0,2,Male,88400
Prof,B,25.0,25,Male,172272
AssocProf,B,9.0,7,Male,107008
AsstProf,B,10.0,5,Female,97032
AssocProf,B,10.0,7,Male,105128
AssocProf,B,10.0,7,Male,105631
Prof,B,38.0,38,Male,166024
Prof,B,21.0,20,Male,123683
AsstProf,B,4.0,0,Male,84000
AssocProf,B,17.0,12,Male,95611
Prof,B,13.0,7,Male,129676
Prof,B,30.0,14,Male,102235
Prof,B,41.0,26,Male,106689
Prof,B,42.0,25,Male,133217
Prof,B,28.0,23,Male,126933
Prof,B,16.0,5,Male,153303
Prof,B,20.0,14,Female,127512
AssocProf,A,18.0,10,Male,83850
Prof,A,31.0,28,Male,113543
AssocProf,A,11.0,8,Male,82099
AssocProf,A,10.0,8,Male,82600
AssocProf,A,15.0,8,Male,81500
Prof,A,40.0,31,Male,131205
Prof,A,20.0,16,Male,112429
AssocProf,A,19.0,16,Male,82100
AsstProf,A,3.0,1,Male,72500
Prof,A,37.0,37,Male,104279
Prof,A,12.0,0,Female,105000
Prof,A,21.0,9,Male,120806
Prof,A,30.0,29,Male,148500
Prof,A,39.0,36,Male,117515
AsstProf,A,4.0,1,Male,72500
AsstProf,A,5.0,3,Female,73500
Prof,A,14.0,14,Male,115313
Prof,A,32.0,32,Male,124309
Prof,A,24.0,22,Male,97262
AssocProf,A,25.0,22,Female,62884
Prof,A,24.0,22,Male,96614
Prof,A,54.0,49,Male,78162
Prof,A,28.0,26,Male,155500
AsstProf,A,2.0,0,Female,72500
Prof,A,32.0,30,Male,113278
AsstProf,A,4.0,2,Male,73000
AssocProf,A,11.0,9,Male,83001
Prof,A,56.0,57,Male,76840
AssocProf,A,10.0,8,Female,77500
AsstProf,A,3.0,1,Female,72500
Prof,A,35.0,25,Male,168635
Prof,A,20.0,18,Male,136000
Prof,A,16.0,14,Male,108262
Prof,A,17.0,14,Male,105668
AssocProf,A,10.0,7,Male,73877
Prof,A,21.0,18,Male,152664
AssocProf,A,14.0,8,Male,100102
AssocProf,A,15.0,10,Male,81500
Prof,A,19.0,11,Male,106608
AsstProf,B,3.0,3,Male,89942
Prof,B,27.0,27,Male,112696
Prof,B,28.0,28,Male,119015
AsstProf,B,4.0,4,Male,92000
Prof,B,27.0,27,Male,156938
Prof,B,36.0,26,Female,144651
AsstProf,B,4.0,3,Male,95079
Prof,B,14.0,12,Male,128148
AsstProf,B,4.0,4,Male,92000
Prof,B,21.0,9,Male,111168
AssocProf,B,12.0,10,Female,103994
AsstProf,B,4.0,0,Male,92000
Prof,B,21.0,21,Male,118971
AssocProf,B,12.0,18,Male,113341
AsstProf,B,1.0,0,Male,88000
AssocProf,B,6.0,6,Male,95408
Prof,B,15.0,16,Male,137167
AsstProf,B,2.0,2,Male,89516
Prof,B,26.0,19,Male,176500
AssocProf,B,22.0,7,Male,98510
AsstProf,B,3.0,3,Male,89942
AsstProf,B,1.0,0,Male,88795
Prof,B,21.0,8,Male,105890
Prof,B,16.0,16,Male,167284
Prof,B,18.0,19,Male,130664
AssocProf,B,8.0,6,Male,101210
Prof,B,25.0,18,Male,181257
AsstProf,B,5.0,5,Male,91227
Prof,B,19.0,19,Male,151575
Prof,B,37.0,24,Male,93164
Prof,B,20.0,20,Male,134185
AssocProf,B,17.0,6,Male,105000
Prof,B,28.0,25,Male,111751
AssocProf,B,10.0,7,Male,95436
AssocProf,B,13.0,9,Male,100944
Prof,B,27.0,14,Male,147349
AsstProf,B,3.0,3,Female,92000
Prof,B,11.0,11,Male,142467
Prof,B,18.0,5,Male,141136
AssocProf,B,8.0,8,Male,100000
Prof,B,26.0,22,Male,150000
Prof,B,23.0,23,Male,101000
Prof,B,33.0,30,Male,134000
AssocProf,B,13.0,10,Female,103750
Prof,B,18.0,10,Male,107500
AssocProf,B,28.0,28,Male,106300
Prof,B,25.0,19,Male,153750
Prof,B,22.0,9,Male,180000
Prof,B,43.0,22,Male,133700
Prof,B,19.0,18,Male,122100
AssocProf,B,19.0,19,Male,86250
AssocProf,B,48.0,53,Male,90000
AssocProf,B,9.0,7,Male,113600
AsstProf,B,4.0,4,Male,92700
AsstProf,B,4.0,4,Male,92000
Prof,B,34.0,33,Male,189409
Prof,B,38.0,22,Male,114500
AsstProf,B,4.0,4,Male,92700
Prof,B,40.0,40,Male,119700
Prof,B,28.0,17,Male,160400
Prof,B,17.0,17,Male,152500
Prof,B,19.0,5,Male,165000
Prof,B,21.0,2,Male,96545
Prof,B,35.0,33,Male,162200
Prof,B,18.0,18,Male,120000
AsstProf,B,7.0,2,Male,91300
Prof,B,20.0,20,Male,163200
AsstProf,B,4.0,3,Male,91000
Prof,B,39.0,39,Male,111350
Prof,B,15.0,7,Male,128400
Prof,B,26.0,19,Male,126200
AssocProf,B,11.0,1,Male,118700
Prof,B,16.0,11,Male,145350
Prof,B,15.0,11,Male,146000
AssocProf,B,29.0,22,Male,105350
AssocProf,B,14.0,7,Female,109650
Prof,B,13.0,11,Male,119500
Prof,B,21.0,21,Male,170000
Prof,B,23.0,10,Male,145200
AssocProf,B,13.0,6,Male,107150
Prof,B,34.0,20,Male,129600
Prof,A,38.0,35,Male,87800
Prof,A,20.0,20,Male,122400
AsstProf,A,3.0,1,Male,63900
AssocProf,A,9.0,7,Male,70000
Prof,A,16.0,11,Male,88175
Prof,A,39.0,38,Male,133900
Prof,A,29.0,27,Female,91000
AssocProf,A,26.0,24,Female,73300
Prof,A,38.0,19,Male,148750
Prof,A,36.0,19,Female,117555
AsstProf,A,8.0,3,Male,69700
Prof,A,28.0,17,Male,81700
Prof,A,25.0,25,Male,114000
AsstProf,A,7.0,6,Female,63100
Prof,A,46.0,40,Male,77202
Prof,A,19.0,6,Male,96200
AsstProf,A,5.0,3,Male,69200
Prof,A,31.0,30,Male,122875
Prof,A,38.0,37,Male,102600
Prof,A,23.0,23,Male,108200
Prof,A,19.0,23,Male,84273
Prof,A,17.0,11,Female,90450
Prof,A,30.0,23,Male,91100
Prof,A,21.0,18,Male,101100
Prof,A,28.0,23,Male,128800
Prof,A,29.0,7,Male,204000
Prof,A,39.0,39,Male,109000
Prof,A,20.0,8,Male,102000
Prof,A,31.0,12,Male,132000
AsstProf,A,4.0,2,Female,77500
Prof,A,28.0,7,Female,116450
AssocProf,A,12.0,8,Male,83000
Prof,A,22.0,22,Male,140300
AssocProf,A,30.0,23,Male,74000
AsstProf,A,9.0,3,Male,73800
Prof,A,32.0,30,Male,92550
AssocProf,A,41.0,33,Male,88600
Prof,A,45.0,45,Male,107550
Prof,A,31.0,26,Male,121200
Prof,A,31.0,31,Male,126000
Prof,A,37.0,35,Male,99000
Prof,A,36.0,30,Male,134800
Prof,A,43.0,43,Male,143940
Prof,A,14.0,10,Male,104350
Prof,A,47.0,44,Male,89650
Prof,A,13.0,7,Male,103700
Prof,A,42.0,40,Male,143250
Prof,A,42.0,18,Male,194800
AsstProf,A,4.0,1,Male,73000
AsstProf,A,8.0,4,Male,74000
AsstProf,A,8.0,3,Female,78500
Prof,A,12.0,6,Male,93000
Prof,A,52.0,48,Male,107200
Prof,A,31.0,27,Male,163200
Prof,A,24.0,18,Male,107100
Prof,A,46.0,46,Male,100600
Prof,A,39.0,38,Male,136500
Prof,A,37.0,27,Male,103600
Prof,A,51.0,51,Male,57800
Prof,A,45.0,43,Male,155865
AssocProf,A,8.0,6,Male,88650
AssocProf,A,49.0,49,Male,81800
Prof,A,28.0,27,Male,115800
AsstProf,A,2.0,0,Male,85000
Prof,A,29.0,27,Male,150500
AsstProf,A,8.0,5,Male,74000
Prof,A,33.0,7,Male,174500
Prof,A,32.0,28,Male,168500
Prof,A,39.0,9,Male,183800
AssocProf,A,11.0,1,Male,104800
Prof,A,19.0,7,Male,107300
Prof,A,40.0,36,Male,97150
Prof,A,18.0,18,Male,126300
Prof,A,17.0,11,Male,148800
Prof,A,49.0,43,Male,72300
AssocProf,A,45.0,39,Male,70700
Prof,A,39.0,36,Male,88600
Prof,A,27.0,16,Male,127100
Prof,A,28.0,13,Male,170500
Prof,A,14.0,4,Male,105260
Prof,A,46.0,44,Male,144050
Prof,A,33.0,31,Male,111350
AsstProf,A,7.0,4,Male,74500
Prof,A,31.0,28,Male,122500
AsstProf,A,5.0,0,Male,74000
Prof,A,22.0,15,Male,166800
Prof,A,20.0,7,Male,92050
Prof,A,14.0,9,Male,108100
Prof,A,29.0,19,Male,94350
Prof,A,35.0,35,Male,100351
Prof,A,22.0,6,Male,146800
AsstProf,B,6.0,3,Male,84716
AssocProf,B,12.0,9,Female,71065
Prof,B,46.0,45,Male,67559
Prof,B,16.0,16,Male,134550
Prof,B,16.0,15,Male,135027
Prof,B,24.0,23,Male,104428
AssocProf,B,9.0,9,Male,95642
AssocProf,B,13.0,11,Male,126431
Prof,B,24.0,15,Female,161101
Prof,B,30.0,31,Male,162221
AsstProf,B,8.0,4,Male,84500
Prof,B,23.0,15,Male,124714
Prof,B,37.0,37,Male,151650
AssocProf,B,10.0,10,Male,99247
Prof,B,23.0,23,Male,134778
Prof,B,49.0,60,Male,192253
Prof,B,20.0,9,Male,116518
Prof,B,18.0,10,Female,105450
Prof,B,33.0,19,Male,145098
AssocProf,B,19.0,6,Female,104542
Prof,B,36.0,38,Male,151445
Prof,B,35.0,23,Male,98053
Prof,B,13.0,12,Male,145000
Prof,B,32.0,25,Male,128464
Prof,B,37.0,15,Male,137317
Prof,B,13.0,11,Male,106231
Prof,B,17.0,17,Female,124312
Prof,B,38.0,38,Male,114596
Prof,B,31.0,31,Male,162150
Prof,B,32.0,35,Male,150376
Prof,B,15.0,10,Male,107986
Prof,B,41.0,27,Male,142023
Prof,B,39.0,33,Male,128250
AsstProf,B,4.0,3,Male,80139
Prof,B,27.0,28,Male,144309
Prof,B,56.0,49,Male,186960
Prof,B,38.0,38,Male,93519
Prof,B,26.0,27,Male,142500
Prof,B,22.0,20,Male,138000
AsstProf,B,8.0,1,Male,83600
Prof,B,25.0,21,Male,145028
Prof,A,49.0,40,Male,88709
Prof,A,39.0,35,Male,107309
Prof,A,28.0,14,Female,109954
AsstProf,A,11.0,4,Male,78785
Prof,A,14.0,11,Male,121946
Prof,A,23.0,15,Female,109646
Prof,A,30.0,30,Male,138771
AssocProf,A,20.0,17,Male,81285
Prof,A,43.0,43,Male,205500
Prof,A,43.0,40,Male,101036
Prof,A,15.0,10,Male,115435
AssocProf,A,10.0,1,Male,108413
Prof,A,35.0,30,Male,131950
Prof,A,33.0,31,Male,134690
AssocProf,A,13.0,8,Male,78182
Prof,A,23.0,20,Male,110515
Prof,A,12.0,7,Male,109707
Prof,A,30.0,26,Male,136660
Prof,A,27.0,19,Male,103275
Prof,A,28.0,26,Male,103649
AsstProf,A,4.0,1,Male,74856
AsstProf,A,6.0,3,Male,77081
Prof,A,38.0,38,Male,150680
AssocProf,A,11.0,8,Male,104121
AsstProf,A,8.0,3,Male,75996
Prof,A,27.0,23,Male,172505
AssocProf,A,8.0,5,Male,86895
Prof,A,44.0,44,Male,105000
Prof,A,27.0,21,Male,125192
Prof,A,15.0,9,Male,114330
Prof,A,29.0,27,Male,139219
Prof,A,29.0,15,Male,109305
Prof,A,38.0,36,Male,119450
Prof,A,33.0,18,Male,186023
Prof,A,40.0,19,Male,166605
Prof,A,30.0,19,Male,151292
Prof,A,33.0,30,Male,103106
Prof,A,31.0,19,Male,150564
Prof,A,42.0,25,Male,101738
Prof,A,25.0,15,Male,95329
AsstProf,A,8.0,4,Male,81035
